time,fuel_burn_kg_s
0.000,0.000365
1.000,0.000365
2.000,0.000365
3.000,0.000365
4.000,0.000365
5.000,0.000365
6.000,0.000365
7.000,0.000365
8.000,0.000365
9.000,0.000365
10.000,0.000365
11.000,0.000365
12.000,0.000365
13.000,0.000365
14.000,0.000365
15.000,0.000365
16.000,0.000365
17.000,0.000365
18.000,0.000365
19.000,0.000365
20.000,0.000365
21.000,0.000365
22.000,0.000365
23.000,0.000365
24.000,0.000365
25.000,0.000365
26.000,0.000365
27.000,0.000365
28.000,0.000365
29.000,0.000365
30.000,0.000365
31.000,0.000365
32.000,0.000365
33.000,0.000365
34.000,0.000365
35.000,0.000365
36.000,0.000365
37.000,0.000365
38.000,0.000365
39.000,0.000365
40.000,0.000365
41.000,0.000365
42.000,0.000365
43.000,0.000365
44.000,0.000365
45.000,0.000365
46.000,0.000365
47.000,0.000365
48.000,0.000365
49.000,0.000365
50.000,0.000365
51.000,0.000365
52.000,0.000365
53.000,0.000365
54.000,0.000365
55.000,0.000365
56.000,0.000365
57.000,0.000365
58.000,0.000365
59.000,0.000365
60.000,0.000365
61.000,0.000365
62.000,0.000365
63.000,0.000365
64.000,0.000365
65.000,0.000365
66.000,0.000365
67.000,0.000365
68.000,0.000365
69.000,0.000365
70.000,0.000365
71.000,0.000365
72.000,0.000365
73.000,0.000365
74.000,0.000365
75.000,0.000365
76.000,0.000365
77.000,0.000365
78.000,0.000365
79.000,0.000365
80.000,0.000365
81.000,0.000365
82.000,0.000365
83.000,0.000365
84.000,0.000365
85.000,0.000365
86.000,0.000365
87.000,0.000365
88.000,0.000365
89.000,0.000365
90.000,0.000365
91.000,0.000365
92.000,0.000365
93.000,0.000365
94.000,0.000365
95.000,0.000365
96.000,0.000365
97.000,0.000365
98.000,0.000365
99.000,0.000365
100.000,0.000365
101.000,0.000365
102.000,0.000365
103.000,0.000365
104.000,0.000365
105.000,0.000365
106.000,0.000365
107.000,0.000365
108.000,0.000365
109.000,0.000365
110.000,0.000365
111.000,0.000365
112.000,0.000365
113.000,0.000365
114.000,0.000365
115.000,0.000365
116.000,0.000365
117.000,0.000365
118.000,0.000365
119.000,0.000365
120.000,0.000365
121.000,0.000365
122.000,0.000365
123.000,0.000365
124.000,0.000365
125.000,0.000365
126.000,0.000365
127.000,0.000365
128.000,0.000365
129.000,0.000365
130.000,0.000365
131.000,0.000365
132.000,0.000365
133.000,0.000365
134.000,0.000365
135.000,0.000365
136.000,0.000365
137.000,0.000365
138.000,0.000365
139.000,0.000365
140.000,0.000365
141.000,0.000365
142.000,0.000365
143.000,0.000365
144.000,0.000365
145.000,0.000365
146.000,0.000365
147.000,0.000365
148.000,0.000365
149.000,0.000365
